DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
08/10/19,00:00:00,147.5000000,148.3000000,145.8300000,145.8600000,157568
09/10/19,00:00:00,147.3800000,147.8300000,146.6400000,147.1300000,154359
10/10/19,00:00:00,146.4500000,147.5300000,145.5800000,146.3800000,193502
11/10/19,00:00:00,148.0900000,150.7100000,148.0900000,149.4400000,364575
14/10/19,00:00:00,150.1000000,150.1200000,148.8500000,149.3600000,109416
15/10/19,00:00:00,149.7200000,152.9600000,149.6200000,152.8100000,315354
16/10/19,00:00:00,147.2600000,150.7100000,145.8300000,146.9800000,520224
17/10/19,00:00:00,147.5800000,148.0300000,145.5100000,146.1700000,364670
18/10/19,00:00:00,146.1700000,146.3200000,142.4100000,144.0800000,492220
21/10/19,00:00:00,144.2800000,145.1750000,143.0000000,144.5600000,258538
22/10/19,00:00:00,144.9500000,145.9100000,142.1600000,142.3400000,233753
23/10/19,00:00:00,142.1100000,145.5300000,141.6500000,145.1300000,316247
24/10/19,00:00:00,146.5300000,148.7900000,146.5300000,148.0600000,357194
25/10/19,00:00:00,146.9000000,150.6400000,146.4700000,150.4800000,337071
28/10/19,00:00:00,151.3800000,154.9200000,149.5000000,154.7800000,442675
29/10/19,00:00:00,154.7300000,156.1000000,154.5600000,155.1900000,415520
30/10/19,00:00:00,155.7500000,158.4000000,155.1100000,158.3200000,228446
31/10/19,00:00:00,156.9600000,157.6000000,155.2400000,156.5000000,268049
01/11/19,00:00:00,157.8000000,160.0600000,156.8300000,159.7700000,373736
04/11/19,00:00:00,160.7100000,161.1900000,156.7000000,157.6100000,379946
05/11/19,00:00:00,157.6700000,159.0600000,155.4900000,158.1700000,312235
06/11/19,00:00:00,158.9400000,160.0000000,157.8500000,158.9100000,230388
07/11/19,00:00:00,159.0300000,161.1200000,158.1700000,159.5000000,259909
08/11/19,00:00:00,159.4700000,161.2000000,158.9100000,161.1600000,228253
11/11/19,00:00:00,161.2800000,162.2250000,160.2500000,161.8200000,223226
12/11/19,00:00:00,161.9300000,164.3350000,161.8100000,162.8600000,183109
13/11/19,00:00:00,163.0000000,164.4200000,162.0600000,162.5800000,269586
14/11/19,00:00:00,163.4000000,163.5600000,162.3900000,163.0000000,205166
15/11/19,00:00:00,163.7100000,163.7100000,160.9900000,163.1900000,276335
18/11/19,00:00:00,163.8500000,163.8500000,161.8900000,162.7500000,315564
19/11/19,00:00:00,163.6700000,164.4400000,161.8700000,164.0000000,237671
20/11/19,00:00:00,163.1950000,166.3400000,162.3200000,164.6300000,494184
21/11/19,00:00:00,165.2900000,165.8500000,162.2300000,162.9600000,461868
22/11/19,00:00:00,163.1800000,163.1800000,161.3900000,162.7800000,239424
25/11/19,00:00:00,163.7800000,164.5900000,161.4500000,161.6100000,386385
26/11/19,00:00:00,161.6700000,162.6000000,161.3400000,162.5100000,256871
27/11/19,00:00:00,162.2400000,162.7700000,161.1200000,161.4800000,287044
29/11/19,00:00:00,161.5600000,163.4000000,161.4700000,163.0200000,200137
02/12/19,00:00:00,163.0100000,163.1700000,158.2200000,161.0200000,469291
03/12/19,00:00:00,157.0600000,161.8500000,157.0500000,161.6500000,487613
04/12/19,00:00:00,160.4600000,160.4600000,154.5200000,156.4600000,1123670
05/12/19,00:00:00,155.5700000,158.9200000,155.3600000,158.2500000,704180
06/12/19,00:00:00,158.0700000,159.5000000,157.6200000,158.0800000,362885
09/12/19,00:00:00,158.5300000,158.9000000,157.1100000,157.4700000,153940
10/12/19,00:00:00,157.3100000,157.4900000,156.1900000,156.5000000,244001
11/12/19,00:00:00,155.8100000,156.8100000,155.5000000,156.3700000,95290
13/12/19,00:00:00,161.0600000,161.0600000,161.0600000,161.0600000,100
16/12/19,00:00:00,161.1500000,162.7100000,160.9800000,161.9700000,358032
17/12/19,00:00:00,161.9800000,162.3500000,159.7500000,161.7200000,429099
18/12/19,00:00:00,161.8800000,163.2600000,161.5100000,161.6100000,283935
19/12/19,00:00:00,161.6000000,163.3200000,160.8600000,163.3200000,261713
20/12/19,00:00:00,164.0600000,165.1700000,163.6700000,164.4800000,328367
23/12/19,00:00:00,163.9900000,164.8600000,163.3700000,163.7800000,229148
24/12/19,00:00:00,163.2200000,163.7900000,162.9000000,163.2400000,56011
26/12/19,00:00:00,163.4900000,164.5300000,163.4600000,164.5000000,108410
27/12/19,00:00:00,164.9000000,165.4400000,163.9400000,164.9800000,188606
30/12/19,00:00:00,164.7500000,164.8600000,161.2600000,162.4200000,223161
31/12/19,00:00:00,162.6900000,162.7700000,162.0000000,162.6400000,164591
02/01/20,00:00:00,163.9500000,167.0600000,163.7500000,167.0400000,307409
03/01/20,00:00:00,165.5300000,166.7700000,165.3200000,166.2200000,182642
06/01/20,00:00:00,164.5100000,173.6500000,164.5100000,173.4200000,598593
07/01/20,00:00:00,173.0600000,176.8500000,172.1300000,176.0000000,584900
08/01/20,00:00:00,175.2300000,178.8300000,174.7700000,177.3200000,368829
09/01/20,00:00:00,178.7800000,179.9000000,177.2900000,179.6300000,348554
10/01/20,00:00:00,179.8400000,180.6400000,178.7400000,180.2300000,343046
13/01/20,00:00:00,181.4000000,184.4500000,181.1600000,183.7900000,419541
14/01/20,00:00:00,183.5400000,183.5800000,182.0400000,182.0400000,281315
15/01/20,00:00:00,181.6600000,183.0500000,180.6200000,181.0300000,268815
16/01/20,00:00:00,182.3000000,183.0300000,180.9800000,182.6900000,172072
17/01/20,00:00:00,183.2000000,183.2500000,181.4900000,182.2000000,182183
21/01/20,00:00:00,181.6600000,185.9900000,181.5000000,185.2900000,554790
22/01/20,00:00:00,185.5300000,186.3900000,182.6900000,182.7200000,320661
23/01/20,00:00:00,182.9600000,184.2800000,181.4200000,184.0000000,317266
24/01/20,00:00:00,185.1800000,186.1200000,181.1600000,182.1100000,330016
27/01/20,00:00:00,177.7500000,181.6700000,177.4900000,180.7000000,227716
28/01/20,00:00:00,181.5100000,183.8300000,180.4500000,182.8200000,160526
29/01/20,00:00:00,183.8900000,184.0700000,181.7000000,181.7700000,158416
30/01/20,00:00:00,181.0800000,185.9100000,180.8700000,185.6600000,198016
31/01/20,00:00:00,183.6600000,183.6600000,180.8100000,182.3100000,235442
03/02/20,00:00:00,183.2100000,185.8700000,181.9600000,185.4100000,296945
04/02/20,00:00:00,188.0000000,189.6400000,186.8100000,188.3400000,262119
05/02/20,00:00:00,190.4100000,190.4900000,182.8800000,185.5200000,316782
06/02/20,00:00:00,186.6400000,187.5600000,184.4000000,186.7100000,225481
07/02/20,00:00:00,186.4200000,188.6400000,185.6700000,185.6900000,225548
10/02/20,00:00:00,186.0100000,189.2700000,185.7200000,189.0100000,326225
11/02/20,00:00:00,191.5000000,192.5450000,188.6800000,189.1200000,283416
12/02/20,00:00:00,189.7100000,190.4900000,186.8000000,189.3700000,309075
13/02/20,00:00:00,188.8400000,191.0500000,188.4400000,188.6500000,214096
14/02/20,00:00:00,189.3700000,190.2300000,188.1900000,189.9200000,212064
18/02/20,00:00:00,190.5100000,191.4600000,189.0000000,191.0600000,292178
19/02/20,00:00:00,191.9900000,193.8900000,191.9900000,192.8700000,259704
20/02/20,00:00:00,194.0000000,195.7000000,189.8500000,193.2900000,426905
21/02/20,00:00:00,191.8600000,192.0400000,186.7400000,189.5100000,346705
24/02/20,00:00:00,180.1600000,187.1500000,179.3600000,186.0100000,507613
25/02/20,00:00:00,188.3600000,189.9400000,179.4400000,181.6800000,620274
26/02/20,00:00:00,176.7300000,182.6650000,174.3400000,178.8300000,1035809
27/02/20,00:00:00,172.3900000,178.3000000,170.0500000,172.1100000,575914
28/02/20,00:00:00,164.9900000,171.7700000,163.1200000,170.1800000,901832
02/03/20,00:00:00,172.1600000,176.7500000,168.8100000,176.7500000,443126
03/03/20,00:00:00,178.0400000,178.0400000,167.2000000,169.2900000,355735
04/03/20,00:00:00,172.3500000,175.7700000,169.6300000,175.7700000,356025
05/03/20,00:00:00,172.5700000,173.7300000,168.1000000,169.7100000,425225
06/03/20,00:00:00,165.4400000,167.5700000,158.5500000,164.1850000,830422
09/03/20,00:00:00,152.3700000,157.6800000,150.7600000,151.2800000,791471
10/03/20,00:00:00,157.1600000,161.3900000,151.0300000,161.2300000,808292
11/03/20,00:00:00,157.9500000,159.6200000,150.1800000,154.6900000,753544
12/03/20,00:00:00,144.2900000,151.0500000,140.5000000,140.5000000,1032794
13/03/20,00:00:00,149.2700000,149.4800000,135.4000000,147.7950000,1212644
16/03/20,00:00:00,131.1050000,141.4500000,123.3900000,124.3000000,794898
17/03/20,00:00:00,127.0100000,138.0000000,122.9400000,135.5950000,769927
18/03/20,00:00:00,125.0500000,133.3400000,115.3000000,132.5000000,832490
19/03/20,00:00:00,131.7000000,143.9600000,128.8600000,139.4600000,689619
20/03/20,00:00:00,140.9000000,146.1500000,134.6000000,139.8800000,920292
23/03/20,00:00:00,136.6600000,143.6800000,134.4500000,140.5300000,1120444
24/03/20,00:00:00,144.0200000,154.1400000,143.4900000,154.1400000,1034020
25/03/20,00:00:00,153.0000000,158.0000000,146.9900000,147.0700000,1091919
26/03/20,00:00:00,148.3800000,155.0000000,147.8200000,154.6600000,710354
27/03/20,00:00:00,151.0500000,151.2250000,144.9450000,145.9900000,721180
30/03/20,00:00:00,147.7900000,152.9900000,146.5600000,149.6700000,682796
31/03/20,00:00:00,148.7400000,151.9500000,142.7800000,143.9600000,841214
01/04/20,00:00:00,137.6600000,139.0000000,133.2200000,134.0500000,781477
02/04/20,00:00:00,133.9500000,135.3800000,130.0400000,134.4200000,660172
03/04/20,00:00:00,134.2100000,136.1800000,131.7200000,134.3200000,376558
06/04/20,00:00:00,139.0600000,148.5900000,138.3600000,147.1300000,726229
07/04/20,00:00:00,150.4900000,150.6100000,144.5500000,145.0400000,645745
08/04/20,00:00:00,146.3000000,152.1300000,145.0000000,151.0600000,538865
09/04/20,00:00:00,152.4100000,156.0000000,151.7500000,154.7000000,465528
13/04/20,00:00:00,154.0000000,155.2100000,150.0000000,152.5700000,292379
14/04/20,00:00:00,155.5500000,158.7600000,155.3600000,157.7200000,364442
15/04/20,00:00:00,155.0000000,157.2500000,154.0000000,155.7400000,315390
